"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\PROJECTS\webCV\lib\animated_backgrounds\particles.dart", "Dart", 0, 31, 2, 3, 36
"c:\PROJECTS\webCV\lib\animated_backgrounds\rain.dart", "Dart", 0, 23, 3, 3, 29
"c:\PROJECTS\webCV\lib\bloc\state_manager_bloc.dart", "Dart", 0, 120, 2, 41, 163
"c:\PROJECTS\webCV\lib\bloc\state_manager_event.dart", "Dart", 0, 58, 0, 21, 79
"c:\PROJECTS\webCV\lib\bloc\state_manager_state.dart", "Dart", 0, 73, 0, 30, 103
"c:\PROJECTS\webCV\lib\home_page_elements\FOB\FOB_animation_delegate.dart", "Dart", 0, 32, 1, 9, 42
"c:\PROJECTS\webCV\lib\home_page_elements\FOB\FOB_data_model.dart", "Dart", 0, 11, 0, 4, 15
"c:\PROJECTS\webCV\lib\home_page_elements\FOB\FOB_widget.dart", "Dart", 0, 136, 9, 24, 169
"c:\PROJECTS\webCV\lib\home_page_elements\cards\base_card.dart", "Dart", 0, 31, 9, 6, 46
"c:\PROJECTS\webCV\lib\home_page_elements\cards\data_card.dart", "Dart", 0, 54, 0, 11, 65
"c:\PROJECTS\webCV\lib\home_page_elements\cards\job_card.dart", "Dart", 0, 62, 0, 13, 75
"c:\PROJECTS\webCV\lib\home_page_elements\cards\school_card.dart", "Dart", 0, 37, 0, 13, 50
"c:\PROJECTS\webCV\lib\home_page_elements\cards\skills_card.dart", "Dart", 0, 35, 0, 12, 47
"c:\PROJECTS\webCV\lib\home_page_elements\drawer_bar.dart", "Dart", 0, 52, 0, 17, 69
"c:\PROJECTS\webCV\lib\home_page_elements\popup_dialogs\pdf_alert_dialog.dart", "Dart", 0, 26, 0, 4, 30
"c:\PROJECTS\webCV\lib\home_page_elements\popup_dialogs\qr_dialog.dart", "Dart", 0, 49, 1, 5, 55
"c:\PROJECTS\webCV\lib\home_page_elements\popup_dialogs\size_warning_dialog.dart", "Dart", 0, 26, 0, 4, 30
"c:\PROJECTS\webCV\lib\home_pages\home_page_grid.dart", "Dart", 0, 112, 5, 33, 150
"c:\PROJECTS\webCV\lib\home_pages\home_page_handler.dart", "Dart", 0, 74, 0, 24, 98
"c:\PROJECTS\webCV\lib\home_pages\home_page_list.dart", "Dart", 0, 88, 2, 30, 120
"c:\PROJECTS\webCV\lib\home_splash_screen\splash_sreen.dart", "Dart", 0, 53, 12, 10, 75
"c:\PROJECTS\webCV\lib\json_workers\jsonBasedataObjs.dart", "Dart", 0, 38, 2, 12, 52
"c:\PROJECTS\webCV\lib\json_workers\jsonBasedataObjs.g.dart", "Dart", 0, 55, 4, 9, 68
"c:\PROJECTS\webCV\lib\json_workers\jsonJobsObjs.dart", "Dart", 0, 24, 2, 8, 34
"c:\PROJECTS\webCV\lib\json_workers\jsonJobsObjs.g.dart", "Dart", 0, 30, 4, 7, 41
"c:\PROJECTS\webCV\lib\json_workers\jsonReaders.dart", "Dart", 0, 17, 0, 8, 25
"c:\PROJECTS\webCV\lib\l10n\l10n.yaml", "YAML", 3, 0, 1, 2, 6
"c:\PROJECTS\webCV\lib\local_changer\language_changer.dart", "Dart", 0, 45, 1, 17, 63
"c:\PROJECTS\webCV\lib\local_changer\locale_provider.dart", "Dart", 0, 15, 4, 11, 30
"c:\PROJECTS\webCV\lib\local_changer\support_locale.dart", "Dart", 0, 7, 0, 2, 9
"c:\PROJECTS\webCV\lib\main.dart", "Dart", 0, 75, 9, 18, 102
"c:\PROJECTS\webCV\lib\pdf\not\pdf.dart", "Dart", 0, 32, 1, 8, 41
"c:\PROJECTS\webCV\lib\pdf\not\pdf_api.dart", "Dart", 0, 29, 0, 10, 39
"c:\PROJECTS\webCV\lib\pdf\not\pdf_paragraph_api.dart", "Dart", 0, 89, 0, 9, 98
"c:\PROJECTS\webCV\lib\pdf\pdfV2.dart", "Dart", 0, 67, 77, 36, 180
"c:\PROJECTS\webCV\lib\pdf\pdf_cards.dart", "Dart", 0, 167, 0, 39, 206
"Total", "-", 3, 1873, 151, 513, 2540
