"filename", "language", "Dart", "comment", "blank", "total"
"c:\PROJECTS\webCV\lib\bloc\state_manager_bloc.dart", "Dart", 7, 0, -2, 5
"c:\PROJECTS\webCV\lib\bloc\state_manager_event.dart", "Dart", 3, 0, 1, 4
"c:\PROJECTS\webCV\lib\bloc\state_manager_state.dart", "Dart", 7, 0, 2, 9
"c:\PROJECTS\webCV\lib\common\animated_backgrounds\particles.dart", "Dart", 0, 2, 0, 2
"c:\PROJECTS\webCV\lib\common\animated_backgrounds\rain.dart", "Dart", -2, 3, 0, 1
"c:\PROJECTS\webCV\lib\common\background\background.dart", "Dart", -11, 10, -1, -2
"c:\PROJECTS\webCV\lib\common\drawer\drawer_bar.dart", "Dart", -34, 0, -10, -44
"c:\PROJECTS\webCV\lib\common\drawer\drawer_controller.dart", "Dart", -36, -1, -11, -48
"c:\PROJECTS\webCV\lib\common\drawer_handler\drawer_handler.dart", "Dart", 36, 1, 11, 48
"c:\PROJECTS\webCV\lib\common\fob\fob_animation_delegate.dart", "Dart", -32, -1, -7, -40
"c:\PROJECTS\webCV\lib\common\fob\fob_builder.dart", "Dart", -26, 0, -5, -31
"c:\PROJECTS\webCV\lib\common\fob\fob_data_model.dart", "Dart", -11, 0, -3, -14
"c:\PROJECTS\webCV\lib\common\fob\fob_widget.dart", "Dart", -108, -4, -18, -130
"c:\PROJECTS\webCV\lib\common\info_line_parts\info_button.dart", "Dart", 18, 0, 4, 22
"c:\PROJECTS\webCV\lib\common\info_line_parts\local_switcher.dart", "Dart", 29, 0, 8, 37
"c:\PROJECTS\webCV\lib\common\json_workers\data_struct\json_data_struct.dart", "Dart", 11, 0, 3, 14
"c:\PROJECTS\webCV\lib\common\json_workers\json_provider\json_provider.dart", "Dart", 20, 3, 11, 34
"c:\PROJECTS\webCV\lib\common\json_workers\json_readers.dart", "Dart", 18, 0, 0, 18
"c:\PROJECTS\webCV\lib\common\popup_dialogs\info_card_dialog.dart", "Dart", 51, 1, 12, 64
"c:\PROJECTS\webCV\lib\common\widgets\base_card.dart", "Dart", 1, -1, 0, 0
"c:\PROJECTS\webCV\lib\dynamic_routes\dynamic_routes.dart", "Dart", -4, 9, -1, 4
"c:\PROJECTS\webCV\lib\dynamic_routes\dynamic_routes_handler.dart", "Dart", 2, 0, -1, 1
"c:\PROJECTS\webCV\lib\local_changer\language_changer.dart", "Dart", -45, 0, -17, -62
"c:\PROJECTS\webCV\lib\local_changer\language_changer_with_info.dart", "Dart", 53, 0, 12, 65
"c:\PROJECTS\webCV\lib\main.dart", "Dart", -9, -4, -3, -16
"c:\PROJECTS\webCV\lib\pages\home_page\parts\drawer\drawer_bar.dart", "Dart", 48, 0, 16, 64
"c:\PROJECTS\webCV\lib\pages\home_page\parts\fob\fob_main_widget.dart", "Dart", 116, 3, 22, 141
"c:\PROJECTS\webCV\lib\pages\home_page\parts\fob\parts\fob_animation_delegate.dart", "Dart", 32, 1, 8, 41
"c:\PROJECTS\webCV\lib\pages\home_page\parts\fob\parts\fob_builder.dart", "Dart", 26, 0, 5, 31
"c:\PROJECTS\webCV\lib\pages\home_page\parts\fob\parts\fob_data_model.dart", "Dart", 11, 0, 3, 14
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_bodies\grid_body_view.dart", "Dart", 15, -1, -1, 13
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_bodies\list_body_view.dart", "Dart", 15, -3, 1, 13
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_bodies\page_handler.dart", "Dart", -11, 0, -2, -13
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\cards\parts\separated_text_table_column copy.dart", "Dart", -62, -3, -14, -79
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\cards\parts\separated_text_table_column_copy.dart", "Dart", 62, 3, 14, 79
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\cards\skills_card.dart", "Dart", 0, 0, 1, 1
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\page_data_structs\grid_data_widgets.dart", "Dart", 50, -1, 11, 60
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\page_data_structs\list_data_widgets.dart", "Dart", 14, -1, 6, 19
"c:\PROJECTS\webCV\lib\pages\references_page\data_structs\references_list_items.dart", "Dart", 38, 21, 6, 65
"c:\PROJECTS\webCV\lib\pages\references_page\parts\cards\parts\link_line_builder.dart", "Dart", 37, 0, 9, 46
"c:\PROJECTS\webCV\lib\pages\references_page\parts\cards\ref_card_links.dart", "Dart", -32, 0, -6, -38
"c:\PROJECTS\webCV\lib\pages\references_page\parts\cards\ref_card_video.dart", "Dart", 24, 0, 8, 32
"c:\PROJECTS\webCV\lib\pages\references_page\parts\cards\ref_image_card.dart", "Dart", 29, 0, 9, 38
"c:\PROJECTS\webCV\lib\pages\references_page\parts\cards\video_card_box.dart", "Dart", -24, 0, -8, -32
"c:\PROJECTS\webCV\lib\pages\references_page\parts\drawer\drawer_ref.dart", "Dart", -1, 1, 0, 0
"c:\PROJECTS\webCV\lib\pages\references_page\parts\fob\fob_ref.dart", "Dart", -91, -8, -19, -118
"c:\PROJECTS\webCV\lib\pages\references_page\parts\fob\fob_ref_widget.dart", "Dart", 97, 0, 20, 117
"c:\PROJECTS\webCV\lib\pages\references_page\parts\ref_card_head.dart", "Dart", -12, 0, -4, -16
"c:\PROJECTS\webCV\lib\pages\references_page\parts\ref_head.dart", "Dart", 12, 0, 4, 16
"c:\PROJECTS\webCV\lib\pages\references_page\references_page.dart", "Dart", 5, 8, 3, 16
"c:\PROJECTS\webCV\lib\pages\splash_screen\parts\opener_video_player.dart", "Dart", 42, 4, 10, 56
"c:\PROJECTS\webCV\lib\pages\splash_screen\splash_sreen.dart", "Dart", -23, 31, -1, 7
"c:\PROJECTS\webCV\lib\pdf\not\pdf.dart", "Dart", -32, -1, -8, -41
"c:\PROJECTS\webCV\lib\pdf\not\pdf_api.dart", "Dart", -29, 0, -10, -39
"c:\PROJECTS\webCV\lib\pdf\not\pdf_paragraph_api.dart", "Dart", -89, 0, -9, -98
"Total", "-", 205, 72, 59, 336
