"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"c:\PROJECTS\webCV\lib\bloc\state_manager_bloc.dart", "Dart", 131, 0, 1, 42, 174
"c:\PROJECTS\webCV\lib\bloc\state_manager_event.dart", "Dart", 73, 0, 0, 24, 97
"c:\PROJECTS\webCV\lib\bloc\state_manager_state.dart", "Dart", 104, 0, 0, 34, 138
"c:\PROJECTS\webCV\lib\common\animated_backgrounds\particles.dart", "Dart", 31, 0, 4, 3, 38
"c:\PROJECTS\webCV\lib\common\animated_backgrounds\rain.dart", "Dart", 21, 0, 6, 3, 30
"c:\PROJECTS\webCV\lib\common\background\background.dart", "Dart", 23, 0, 10, 6, 39
"c:\PROJECTS\webCV\lib\common\drawer_handler\drawer_handler.dart", "Dart", 36, 0, 1, 11, 48
"c:\PROJECTS\webCV\lib\common\info_line_parts\info_button.dart", "Dart", 18, 0, 0, 4, 22
"c:\PROJECTS\webCV\lib\common\info_line_parts\local_switcher.dart", "Dart", 29, 0, 0, 8, 37
"c:\PROJECTS\webCV\lib\common\json_workers\data_struct\json_data_struct.dart", "Dart", 11, 0, 0, 3, 14
"c:\PROJECTS\webCV\lib\common\json_workers\json_basedata_objs.dart", "Dart", 38, 0, 2, 13, 53
"c:\PROJECTS\webCV\lib\common\json_workers\json_basedata_objs.g.dart", "Dart", 55, 0, 4, 9, 68
"c:\PROJECTS\webCV\lib\common\json_workers\json_jobs_objs.dart", "Dart", 24, 0, 2, 8, 34
"c:\PROJECTS\webCV\lib\common\json_workers\json_jobs_objs.g.dart", "Dart", 30, 0, 4, 7, 41
"c:\PROJECTS\webCV\lib\common\json_workers\json_links_data_objs.dart", "Dart", 10, 0, 2, 5, 17
"c:\PROJECTS\webCV\lib\common\json_workers\json_links_data_objs.g.dart", "Dart", 11, 0, 4, 5, 20
"c:\PROJECTS\webCV\lib\common\json_workers\json_provider\json_provider.dart", "Dart", 20, 0, 3, 11, 34
"c:\PROJECTS\webCV\lib\common\json_workers\json_readers.dart", "Dart", 48, 0, 0, 13, 61
"c:\PROJECTS\webCV\lib\common\popup_dialogs\info_card_dialog.dart", "Dart", 51, 0, 1, 12, 64
"c:\PROJECTS\webCV\lib\common\popup_dialogs\pdf_alert_dialog.dart", "Dart", 28, 0, 0, 8, 36
"c:\PROJECTS\webCV\lib\common\popup_dialogs\qr_dialog.dart", "Dart", 51, 0, 1, 9, 61
